Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo BLR_Singasandra WH,Zolo Acropolis,"Behind Sri Sathya Sayeeshwari Vidhya Mandir (Ashraya School),Nagvara,Jogappa Layout,Nagavara.,Bangalore - 560032",Bangalore,Karnataka,"13.0402179, 77.61122069999999","12.8903965, 77.6273899",13.0402179,77.6112207,12.8903965,77.6273899,16.67
Zolo BLR_Singasandra WH,Zolo Aster,"No. 17/3, Dr. M H Marigowda Road, Madiwala, Bengaluru, Bengaluru Urban, Karnataka, 560068",Bangalore,Karnataka,"12.943776, 77.5972076","12.8903965, 77.6273899",12.943776,77.5972076,12.8903965,77.6273899,6.75
Zolo BLR_Singasandra WH,Zolo Elysium Hub,"Bearing No 258/3, Begur Hobli, Bommanahalli, Bengaluru, Bengaluru Urban, Karnataka,560068",Bangalore,Karnataka,"12.9039909, 77.627577","12.8903965, 77.6273899",12.9039909,77.627577,12.8903965,77.6273899,1.5
Zolo Faridabad Warehouse,Zolo Mansion Hub,"The,Dhaniram Complex,Gali no. 1 The,Gali Number 1,Sukhrali,Sector 17,Haryana,Gurugram - 122022",Gurugram,Haryana,"28.4743161, 77.0585826","28.4586177, 77.3070471",28.4743161,77.0585826,28.4586177,77.3070471,24.4
Zolo BLR_Singasandra WH,Zolo Bella Casa Hub,"Bearing No 19, Doddavenkatappa Block, Gangenahalli Dinnur Road, RT Nagar, Bengaluru, Bengaluru Urban, Karnataka, 560032",Bangalore,Karnataka,"13.0240332, 77.5986137","12.8903965, 77.6273899",13.0240332,77.5986137,12.8903965,77.6273899,15.11
Zolo BLR_Singasandra WH,Zolo Cosmoz Hub,"NO.35, KHATA NO.89, HOUSE LIST NO.35/2 NAGAWARA VILLAGE, KASABA, HOBLI, Nagawara, Bangalore , Karnataka 560045",Bangalore,Karnataka,"13.037159, 77.62425739999999","12.8903965, 77.6273899",13.037159,77.6242574,12.8903965,77.6273899,16.24
Zolo BLR_Singasandra WH,Zolo Creedence Hub,"7th Cross Road, Neeladri Nagar,, Electronics City Phase 1, Electronic City, Doddathoguru, Karnataka 560100, Bangalore, 560100",Bangalore,Karnataka,"12.8385071, 77.6485119","12.8903965, 77.6273899",12.8385071,77.6485119,12.8903965,77.6273899,6.18
Zolo BLR_Singasandra WH,Zolo Maiden Hub,"P. No 84/1C Ward No 152/SG, Maruthi Nagar, Madiwala New Extension, Bengaluru, Bengaluru Urban, Karnataka, 560068",Bangalore,Karnataka,"12.9258158, 77.6157877","12.8903965, 77.6273899",12.9258158,77.6157877,12.8903965,77.6273899,4.12
Zolo BLR_Singasandra WH,Zolo Jazz Hub,"Bearing No 20, 5th Cross, Beguru Hobli Bangalore South Taluk, Srinivagulu, Bengaluru, Bengaluru Urban, Karnataka, 560095",Bangalore,Karnataka,"12.9389553, 77.6302619","12.8903965, 77.6273899",12.9389553,77.6302619,12.8903965,77.6273899,5.38
Zolo Chennai Warehouse_2,Zolo Expresso Hub,"RAINTREE PARK APARTMENT, CENGUNTRAM ROAD, NR KALAIMAGAL SCHOOL,, SINGAPERUMAL KOVIL, CHENGALPATTU (TK), KANCHIPURAM(DIST), Chennai, 603404",Chennai,Tamil Nadu,"12.7587024, 80.0125748","13.0675449, 80.1491821",12.7587024,80.0125748,13.0675449,80.1491821,37.24
Zolo Chennai Warehouse_2,Zolo Apex Hub,"Plot no-29,30,31,32 Ramamurthy Avenue Kolapakkam village, taluk, Sriperumbudur, Chennai, Tamil Nadu ,600125",Chennai,Tamil Nadu,"13.0121983, 80.15704559999999","13.0675449, 80.1491821",13.0121983,80.1570456,13.0675449,80.1491821,6.18
Zolo Chennai Warehouse_2,Zolo Ascot Hub,"No:5, S Perumal Kovil St,, Vadapalani, Chennai, Tamil Nadu 600026, Chennai, 600026",Chennai,Tamil Nadu,"13.051662, 80.2150101","13.0675449, 80.1491821",13.051662,80.2150101,13.0675449,80.1491821,7.35
Zolo Chennai Warehouse_2,Zolo Lake Square Hub,"Plot No.2,Block No:3,Vendravasi amman koil street, Sholinganallur road, Karapakkam, Chennai, Chennai, 600097",Chennai,Tamil Nadu,"12.9139017, 80.2329602","13.0675449, 80.1491821",12.9139017,80.2329602,13.0675449,80.1491821,19.28
